Affiliate_id,Affiliate_name,City,State,Country,Latitude,Longitude
1541,CrossFit Now,Tucson,AZ,United States,32.2485,-111.005
2310,CrossFit Purgatory,Tucson,AZ,United States,32.2364,-110.9187
2899,Wildcat CrossFit,Tucson,AZ,United States,32.2185,-110.9566
3948,Desert Warrior CrossFit,Tucson,AZ,United States,,
6056,CrossFit East Tucson,Tucson,AZ,United States,32.1907,-110.7885
6139,CrossFit Desert Lightning,Tucson,AZ,United States,,
9910,Old Pueblo CrossFit,Tucson,AZ,United States,32.2011,-110.8259
10818,CrossFit 8 Count,Tucson,AZ,United States,32.2211,-110.8312
11575,CrossFit Powertrain,Tucson,AZ,United States,32.2505,-111.0008
13827,Bion CrossFit,Tucson,AZ,United States,32.2948,-110.8262
13837,HardVolume CrossFit,Tucson,AZ,United States,32.2205,-110.9652
14451,CrossFit Lanista,Tucson,AZ,United States,32.1616,-110.9212
15174,Iron Grip CrossFit,Tucson,AZ,United States,32.1039,-110.8104
16171,CrossFit 520,Tucson,AZ,United States,32.2667,-110.913
16560,CrossFit Factotum,TUCSON,AZ,United States,32.2217,-110.8139
16801,CrossFit Milo,Tucson,AZ,United States,32.23,-110.9768
18640,CrossFit 646 North,Tucson,AZ,United States,32.3631,-111.1202
19122,CrossFit Fixx,Tucson,AZ,United States,32.26,-110.7998
19653,CrossFit Canyon State,Tucson,AZ,United States,32.2376,-110.9083
20939,TSC CrossFit,Tucson,AZ,United States,32.25,-110.8421
687,CrossFit MCAS Yuma,Yuma,AZ,United States,,
2292,CrossFit Yuma,Yuma,AZ,United States,32.6961,-114.6203
2922,CrossFit Glory,Yuma,AZ,United States,32.7221,-114.6178
14016,Beast Factory CrossFit,Yuma,AZ,United States,32.6743,-114.5122
14952,NK CrossFit,Yuma,AZ,United States,32.6713,-114.557
21284,Three Dog CrossFit,Acton,CA,United States,34.4977,-118.1602
3801,Precision CrossFit,Agoura Hills,CA,United States,34.1452,-118.7511
6322,Chalkline CrossFit,Agoura Hills,CA,United States,34.1462,-118.7491
1266,Alameda CrossFit,Alameda,CA,United States,37.7826,-122.301
2049,CrossFit Mariner Square,Alameda,CA,United States,37.7857,-122.2785
2713,CrossFit Government Island,Alameda,CA,United States,,
5728,Concrete Body CrossFit,Alameda,CA,United States,37.7307,-122.2494
2211,CrossFit Alhambra,Alhambra,CA,United States,34.0854,-118.1477
24,Aliso CrossFit,Aliso Viejo,CA,United States,33.5687,-117.7283
18225,Pacific Park CrossFit,Aliso Viejo,CA,United States,33.5598,-117.7243
13727,Alpine Ranch CrossFit,Alpine,CA,United States,32.8402,-116.7083
502,CrossFit SkyBox,American Canyon,CA,United States,38.1938,-122.2574
449,Canyon CrossFit,Anaheim,CA,United States,33.8567,-117.7332
3142,CrossFit Rx'd Placentia,Anaheim,CA,United States,33.8502,-117.8598
10872,CrossFit Twins,Anaheim,CA,United States,33.8683,-117.8466
12204,LumberYard CrossFit,Anaheim,CA,United States,33.8599,-117.861
12591,Anaheim CrossFit West,Anaheim,CA,United States,33.8153,-117.8836
13509,CrossFit Anaheim,Anaheim,CA,United States,33.8053,-117.9013
14988,Pacesetter CrossFit,Anaheim,CA,United States,33.8589,-117.8266
19029,CrossFit Coincide,Anaheim,CA,United States,33.8317,-117.9368
3894,Anderson River CrossFit,Anderson,CA,United States,40.4668,-122.317
19117,Golden State CrossFit,Antioch,CA,United States,37.999,-121.7957
21206,CrossFit Antioch PD,Antioch,CA,United States,,
17957,Sundevils CrossFit,Apple Valley,CA,United States,,
18392,CrossFit One Society,Apple Valley,CA,United States,34.4957,-117.1755
11872,CrossFit Linchpin,Aptos,CA,United States,36.9749,-121.9075
11900,CrossFit Aptos,Aptos,CA,United States,36.9763,-121.9058
6672,CrossFit Reason,Arcadia,CA,United States,34.1063,-118.0365
20930,Everlong CrossFit,Arcadia CA,CA,United States,34.1427,-118.0272
929,The Pit CrossFit,Arroyo Grande,CA,United States,35.12,-120.5964
5284,Atascadero CrossFit,Atascadero,CA,United States,35.5043,-120.6917
18308,Tent City CrossFit,Atascadero,CA,United States,35.499,-120.6828
3731,Auburn CrossFit,Auburn,CA,United States,38.9016,-121.0649
9874,Empire Mine CrossFit,Auburn,CA,United States,38.958,-121.1034
11894,CrossFit Direct Action,Azusa,CA,United States,34.114,-117.9208
2862,CrossFit Frenzy,Bakersfield,CA,United States,35.3082,-119.0625
3816,CrossFit 661,Bakersfield,CA,United States,35.3886,-119.0377
5587,Aztec CrossFit,Bakersfield,CA,United States,,
5597,CrossFit Crazy House,Bakersfield,CA,United States,35.3749,-119.1061
6549,Next Step CrossFit,Bakersfield,CA,United States,35.316,-119.0873
8391,CrossFit OD,Bakersfield,CA,United States,35.3863,-119.1131
13810,H Block CrossFit,Bakersfield,CA,United States,,
13974,CrossFit TOB,Bakersfield,CA,United States,35.3884,-119.0821
14079,Rio Bravo Valley CrossFit,Bakersfield,CA,United States,35.3959,-118.8849
14960,CrossFit Red Lotus,Bakersfield,CA,United States,35.3139,-119.0536
16136,EE CrossFit,Bakersfield,CA,United States,35.3932,-119.091
16789,Back 2 Back CrossFit,Bakersfield,CA,United States,35.3927,-119.0596
17683,CrossFit Bako,Bakersfield,CA,United States,35.3938,-119.0753
20128,CrossFit Knights,Bakersfield,CA,United States,,
19726,Beale CrossFit,Beale AFB,CA,United States,,
2864,CrossFit Awaken,Beaumont,CA,United States,33.9234,-116.9729
18945,CrossFit BHS,Beaumont,CA,United States,,
4559,CrossFit Vis Performance,Belmont,CA,United States,37.5225,-122.2674
9419,CrossFit Old County,Belmont,CA,United States,37.5257,-122.2804
9265,Benicia CrossFit,Benicia,CA,United States,38.0743,-122.1245
15525,Jute CrossFit,Benicia,CA,United States,38.0842,-122.1082
3586,Berkeley CrossFit,Berkeley,CA,United States,37.869,-122.292
4134,Grassroots CrossFit,Berkeley,CA,United States,37.8629,-122.268
10115,UC Berkeley CrossFit,Berkeley,CA,United States,,
11373,B High CrossFit,Berkeley,CA,United States,,
2095,Foundry CrossFit,Bermuda Dunes,CA,United States,33.7585,-116.3004
9952,Stellar CrossFit,Big Bear Lake,CA,United States,34.2478,-116.8875
9347,CrossFit Radiate,Bishop,CA,United States,37.3607,-118.3985
16408,CrossFit Bishop,Bishop,CA,United States,37.3626,-118.3938
9232,CrossFit Rendition,Blythe,CA,United States,33.6145,-114.6056
475,So Cal Martial Arts Center CrossFit,Bonita,CA,United States,32.6701,-117.0217
832,CrossFit Mikes Gym,Bonsall,CA,United States,33.2941,-117.1886
1581,CrossFit META,Brea,CA,United States,33.9104,-117.8576
2857,CrossFit Riot,Brea,CA,United States,33.924,-117.9055
15696,CrossFit Firestone,Brea,CA,United States,33.9221,-117.8955
332,Antioch CrossFit,Brentwood,CA,United States,37.9564,-121.73
466,Delta CrossFit,Brentwood,CA,United States,37.9421,-121.6961
18206,CrossFit Takedown,Brentwood,CA,United States,37.9311,-121.6977
2395,CrossFit Burbank,Burbank,CA,United States,34.1653,-118.3456
11839,Aesir CrossFit,Burbank,CA,United States,34.1736,-118.2996
16142,CrossFit High Voltage,Burbank,CA,United States,34.1767,-118.3172
20250,Fire and Ice CrossFit West,Burbank,CA,United States,34.1901,-118.3448
21162,CrossFit Órale,Burbank,CA,United States,34.1843,-118.3208
9585,Marvelous CrossFit,Burlingame,CA,United States,37.6007,-122.3698
8332,CrossFit Illicitus,Calexico,CA,United States,32.6923,-115.4943
6514,CrossFit Covert,Calimesa,CA,United States,33.998,-117.0621
9089,CrossFit Power Labs,Calimesa,CA,United States,33.9971,-117.058
2017,CrossFit Code 4,Camarillo,CA,United States,34.2259,-119.0198
7423,CrossFit 1873,Camarillo,CA,United States,,
16702,CrossFit Camarillo,Camarillo,CA,United States,34.2092,-119.0386
1813,CrossFit Cameron Park,Cameron Park,CA,United States,38.657,-120.9483
11703,Shoot Move CrossFit,Camp Pendleton,CA,United States,,
879,CrossFit San Jose,Campbell,CA,United States,37.2624,-121.9559
1110,CrossFit Campbell,Campbell,CA,United States,37.2712,-121.952
18480,CrossFit Currahee,Campbell,CA,United States,37.2857,-121.9495
6304,CrossFit Woodland Hills,Canoga Park,CA,United States,34.1947,-118.598
11422,Iron Battalion CrossFit,Canoga Park,CA,United States,34.2159,-118.5997
112,CrossFit Kalos Sthenos,Canyon Country,CA,United States,34.4209,-118.504
3163,CrossFit 760 C,Carlsbad,CA,United States,33.1218,-117.3251
3744,Carlsbad CrossFit,Carlsbad,CA,United States,33.1207,-117.2676
4200,Offshore CrossFit,Carlsbad,CA,United States,33.1583,-117.3471
5044,Dynamis CrossFit,Carlsbad,CA,United States,33.1391,-117.2699
20743,House of CrossFit,Carlsbad,CA,United States,33.1309,-117.2403
15020,CrossFit Stompin' Ground,Carmichael,CA,United States,38.6372,-121.3244
15849,CrossFit Carpinteria,Carpinteria,CA,United States,34.4163,-119.6259
5175,Carson CrossFit,Carson,CA,United States,33.8431,-118.2577
4502,Sunny Sands CrossFit,Cathedral City,CA,United States,,
19823,AO CrossFit,Cathedral City,CA,United States,33.7882,-116.4659
10162,Crusader CrossFit,Cerritos,CA,United States,,
279,CrossFit Chatsworth,Chatsworth,CA,United States,34.2368,-118.6039
3909,CrossFit EMAA,Chatsworth,CA,United States,34.2427,-118.5873
4040,North Rim CrossFit,Chico,CA,United States,39.7465,-121.8936
4590,In Mo CrossFit,Chico,CA,United States,39.75,-121.8244
10954,Upper Park CrossFit,Chico,CA,United States,39.7141,-121.8232
14044,CrossFit VCP,Chico,CA,United States,39.7847,-121.838
17911,CrossFit Rack It,Chico,CA,United States,39.7139,-121.7888
3323,Chino CrossFit,Chino,CA,United States,34.003,-117.7202
8273,CrossFit High Road,Chino,CA,United States,33.9837,-117.6902
12239,CrossFit Descendants,Chino,CA,United States,34.0335,-117.6839
3096,CrossFit Chino Hills,Chino Hills,CA,United States,33.9729,-117.6903
11482,CrossFit Chowchilla,Chowchilla,CA,United States,37.1137,-120.2714
790,CrossFit Chula Vista,Chula Vista,CA,United States,32.6533,-116.9673
5441,CrossFit Secutor,Chula Vista,CA,United States,,
9729,CrossFit Escudo,Chula Vista,CA,United States,32.6386,-117.0169
10444,CrossFit EHA,Chula Vista,CA,United States,,
